--------------------Lista de carros--------------------
Carro : ID: 70 | McLaren-Pacifica | Prioritário: Sim | Tempo Reparação: 6 | Dias na ET: 0
Carro : ID: 63 | Chevrolet-GR | Prioritário: Sim | Tempo Reparação: 6 | Dias na ET: 0
Carro : ID: 67 | McLaren-e-tron | Prioritário: Sim | Tempo Reparação: 7 | Dias na ET: 0
Carro : ID: 86 | Kia-CX-30 | Prioritário: Sim | Tempo Reparação: 4 | Dias na ET: 0
Carro : ID: 91 | Nissan-RS | Prioritário: Sim | Tempo Reparação: 5 | Dias na ET: 0
Carro : ID: 93 | Chevrolet-MDX | Prioritário: Sim | Tempo Reparação: 5 | Dias na ET: 0
Carro : ID: 110 | McLaren-M8 | Prioritário: Sim | Tempo Reparação: 7 | Dias na ET: 0
Carro : ID: 108 | Kia-Silverado | Prioritário: Sim | Tempo Reparação: 2 | Dias na ET: 0
Carro : ID: 126 | McLaren-Outlander | Prioritário: Sim | Tempo Reparação: 4 | Dias na ET: 0
Carro : ID: 135 | Chevrolet-Tahoe | Prioritário: Sim | Tempo Reparação: 3 | Dias na ET: 0
Carro : ID: 145 | Kia-NSX | Prioritário: Sim | Tempo Reparação: 5 | Dias na ET: 0
Carro : ID: 12 | McLaren-Mirai | Prioritário: Não | Tempo Reparação: 7 | Dias na ET: 0
Carro : ID: 13 | Kia-Phantom | Prioritário: Não | Tempo Reparação: 7 | Dias na ET: 0
Carro : ID: 14 | Nissan-X2 | Prioritário: Não | Tempo Reparação: 3 | Dias na ET: 0
Carro : ID: 15 | McLaren-Atlas | Prioritário: Não | Tempo Reparação: 6 | Dias na ET: 0
Carro : ID: 16 | Nissan-BRZ | Prioritário: Não | Tempo Reparação: 4 | Dias na ET: 0
Carro : ID: 17 | MAZDA-RAV4 | Prioritário: Não | Tempo Reparação: 3 | Dias na ET: 0
Carro : ID: 18 | McLaren-Santa | Prioritário: Não | Tempo Reparação: 6 | Dias na ET: 0
Carro : ID: 19 | Nissan-e-tron | Prioritário: Não | Tempo Reparação: 3 | Dias na ET: 0
Carro : ID: 20 | Kia-RS | Prioritário: Não | Tempo Reparação: 6 | Dias na ET: 0
